                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.69336,                0.48964,                0.97014,                0.92866,                0.86897,                0.92379,                0.77338,                0.63576,                0.41193,                0.89515,              0.0009605,              0.0009605,              0.0009605
                     65,                0.68821,                0.48525,                0.95614,                0.92488,                0.88692,                0.91404,                0.75442,                0.65256,                   0.42,                0.90426,               0.000944,               0.000944,               0.000944
                     66,                0.69281,                0.49142,                0.97439,                0.94216,                0.86547,                0.92496,                0.77977,                0.64074,                0.41103,                0.89643,              0.0009275,              0.0009275,              0.0009275
                     67,                0.67906,                0.49557,                0.95868,                0.94509,                0.87602,                0.92927,                 0.7737,                  0.645,                0.40011,                0.89888,               0.000911,               0.000911,               0.000911
                     68,                0.70548,                0.48212,                0.97313,                0.92849,                0.88452,                0.93002,                0.78257,                0.63291,                0.39519,                0.89928,              0.0008945,              0.0008945,              0.0008945
                     69,                0.69532,                 0.4801,                0.97357,                0.93306,                0.87352,                 0.9249,                0.77039,                0.66357,                0.40069,                  0.912,               0.000878,               0.000878,               0.000878
                     70,                 0.6898,                0.47861,                0.97193,                0.93849,                0.87302,                0.92629,                0.77958,                0.62584,                0.38305,                0.89597,              0.0008615,              0.0008615,              0.0008615
                     71,                0.68635,                0.45902,                0.97339,                0.93252,                  0.866,                0.92383,                0.77979,                0.62295,                0.39168,                0.90051,               0.000845,               0.000845,               0.000845
                     72,                0.65806,                0.45036,                 0.9531,                0.91847,                0.87483,                0.92088,                0.77323,                0.63556,                0.39704,                0.89825,              0.0008285,              0.0008285,              0.0008285
                     73,                0.68001,                0.47504,                0.96195,                0.92491,                0.88942,                0.93138,                0.78037,                0.65112,                0.38899,                0.90812,               0.000812,               0.000812,               0.000812
                     74,                0.65923,                0.45211,                0.95474,                0.93898,                0.87193,                0.92351,                0.76706,                0.64256,                0.40003,                0.90599,              0.0007955,              0.0007955,              0.0007955
                     75,                0.66666,                0.45738,                0.95677,                0.92784,                0.88556,                0.93063,                0.78548,                0.61194,                0.38406,                0.89556,               0.000779,               0.000779,               0.000779
                     76,                0.67885,                0.46861,                0.96221,                0.93923,                0.86332,                0.92285,                0.77278,                0.63597,                0.39273,                0.89771,              0.0007625,              0.0007625,              0.0007625
                     77,                0.67581,                0.47118,                0.96301,                0.95184,                0.87466,                0.92808,                0.78114,                0.62165,                0.38263,                0.88687,               0.000746,               0.000746,               0.000746
