                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.63827,                0.44936,                0.99561,                0.93047,                0.88011,                0.92314,                 0.7755,                0.59642,                0.36274,                0.92214,              0.0008615,              0.0008615,              0.0008615
                     71,                0.64736,                0.44491,                0.99701,                0.94526,                0.86512,                  0.926,                0.78697,                0.58028,                 0.3567,                0.91644,               0.000845,               0.000845,               0.000845
                     72,                0.61772,                0.42667,                0.98285,                 0.9288,                0.86921,                0.92794,                0.78858,                0.58603,                0.36055,                0.91973,              0.0008285,              0.0008285,              0.0008285
                     73,                0.62692,                0.44216,                0.98468,                0.95042,                0.86512,                0.92866,                 0.7916,                0.58998,                0.35101,                0.91561,               0.000812,               0.000812,               0.000812
                     74,                0.62386,                0.43207,                0.98148,                 0.9281,                0.87924,                0.92597,                0.77107,                0.62381,                0.35912,                0.93091,              0.0007955,              0.0007955,              0.0007955
                     75,                0.62225,                0.43259,                0.98332,                0.90424,                 0.8951,                0.92455,                 0.7773,                0.58843,                0.36527,                0.92517,               0.000779,               0.000779,               0.000779
                     76,                0.62425,                0.44434,                0.98156,                0.93118,                0.87738,                0.92476,                0.78871,                0.56806,                0.35412,                0.91426,              0.0007625,              0.0007625,              0.0007625
                     77,                0.62351,                0.44066,                0.98649,                0.91577,                0.88869,                0.92637,                  0.782,                0.59786,                0.36374,                0.92428,               0.000746,               0.000746,               0.000746
                     78,                0.61338,                0.43192,                0.99167,                0.92916,                0.89352,                0.93182,                0.79194,                0.57498,                0.33915,                0.90772,              0.0007295,              0.0007295,              0.0007295
                     79,                0.60637,                0.41242,                0.97835,                0.93469,                0.89101,                0.92766,                0.78287,                0.58854,                0.35253,                0.92048,               0.000713,               0.000713,               0.000713
                     80,                0.60651,                0.42457,                0.97654,                0.93442,                0.87738,                0.92687,                 0.7911,                0.58449,                 0.3537,                0.91635,              0.0006965,              0.0006965,              0.0006965
                     81,                0.60575,                0.41943,                0.97932,                0.91764,                 0.8951,                 0.9258,                0.78945,                0.56357,                 0.3446,                0.91073,                0.00068,                0.00068,                0.00068
                     82,                0.59982,                0.42643,                 0.9792,                0.94431,                0.87738,                0.93161,                0.78209,                0.61356,                0.35321,                0.91768,              0.0006635,              0.0006635,              0.0006635
                     83,                0.60329,                  0.428,                0.97724,                0.92496,                0.89003,                0.92746,                0.79332,                0.58122,                0.34462,                0.92753,               0.000647,               0.000647,               0.000647
                     84,                0.60191,                0.41143,                0.97144,                0.94742,                0.85695,                0.92613,                0.78054,                0.59341,                0.35004,                0.92316,              0.0006305,              0.0006305,              0.0006305
                     85,                0.59656,                 0.4093,                0.97396,                0.92806,                0.89646,                0.92839,                0.78468,                0.59075,                0.35207,                0.91749,               0.000614,               0.000614,               0.000614
                     86,                0.58727,                0.40898,                0.96918,                0.94402,                0.88283,                0.92854,                0.79538,                0.57566,                0.34001,                0.91567,              0.0005975,              0.0005975,              0.0005975
                     87,                0.59085,                0.40142,                0.96783,                0.93505,                0.88256,                0.93259,                0.79911,                0.58723,                0.34573,                0.91068,               0.000581,               0.000581,               0.000581
                     88,                0.57791,                0.39503,                 0.9651,                0.91851,                0.89646,                0.92591,                0.78589,                0.59356,                0.33893,                 0.9288,              0.0005645,              0.0005645,              0.0005645
                     89,                0.58755,                0.40779,                0.96865,                0.94527,                0.88828,                0.93465,                0.80397,                0.56478,                0.32878,                 0.9084,               0.000548,               0.000548,               0.000548
                     90,                0.56934,                 0.3941,                0.95435,                0.93666,                 0.8865,                0.92853,                0.79679,                0.57356,                0.33647,                0.91316,              0.0005315,              0.0005315,              0.0005315
                     91,                0.57751,                0.40937,                0.96034,                0.94444,                0.88002,                0.92592,                0.79554,                0.55623,                0.33873,                0.90553,               0.000515,               0.000515,               0.000515
                     92,                0.59516,                 0.3992,                0.97354,                0.94324,                0.87466,                0.92581,                0.79793,                0.55803,                0.33926,                0.90803,              0.0004985,              0.0004985,              0.0004985
                     93,                 0.5684,                0.39342,                0.95164,                 0.9512,                0.88011,                0.93101,                0.80156,                0.56939,                0.32838,                0.90972,               0.000482,               0.000482,               0.000482
                     94,                 0.5695,                0.40083,                0.95845,                0.94828,                0.87435,                0.93184,                0.79879,                0.56308,                0.32387,                0.90282,              0.0004655,              0.0004655,              0.0004655
                     95,                0.57112,                0.38755,                0.96035,                0.93688,                0.88979,                0.92863,                0.79489,                0.57131,                0.32709,                0.92157,               0.000449,               0.000449,               0.000449
                     96,                0.57232,                0.39049,                0.96609,                0.94042,                0.88692,                0.92975,                0.80431,                0.55436,                0.32228,                0.90806,              0.0004325,              0.0004325,              0.0004325
                     97,                0.56671,                 0.3955,                0.95542,                0.93724,                0.89782,                0.93379,                0.80482,                0.54501,                0.32377,                0.90254,               0.000416,               0.000416,               0.000416
                     98,                0.57032,                0.39509,                0.95926,                0.92922,                0.89425,                0.92828,                0.80335,                0.55671,                0.32501,                 0.9066,              0.0003995,              0.0003995,              0.0003995
                     99,                0.55249,                0.37992,                0.95119,                0.93003,                0.90327,                0.93039,                0.79998,                0.55883,                0.31825,                0.90742,               0.000383,               0.000383,               0.000383
                    100,                0.57089,                0.39092,                0.95652,                0.92001,                0.89322,                0.92966,                0.79958,                0.55519,                0.32682,                0.90413,              0.0003665,              0.0003665,              0.0003665
                    101,                0.55436,                0.37971,                0.95232,                0.93747,                0.88965,                0.92788,                0.80271,                0.55719,                0.32318,                0.90993,                0.00035,                0.00035,                0.00035
                    102,                0.54992,                0.37571,                  0.958,                0.93233,                0.88965,                0.92972,                0.80211,                0.56091,                0.32151,                0.90995,              0.0003335,              0.0003335,              0.0003335
                    103,                0.55138,                0.37653,                0.95177,                0.92355,                0.90054,                0.92782,                0.79683,                0.56498,                 0.3207,                0.92134,               0.000317,               0.000317,               0.000317
                    104,                0.54939,                0.36552,                 0.9573,                0.93993,                 0.8954,                0.93146,                0.80504,                0.56083,                0.31949,                0.90779,              0.0003005,              0.0003005,              0.0003005
                    105,                0.54301,                0.37236,                 0.9496,                0.93805,                0.88707,                   0.93,                0.80522,                 0.5622,                0.31469,                0.90894,               0.000284,               0.000284,               0.000284
                    106,                0.54101,                0.37155,                0.95537,                0.94486,                0.88283,                 0.9312,                0.80365,                0.55582,                0.31707,                0.90493,              0.0002675,              0.0002675,              0.0002675
                    107,                 0.5417,                0.36308,                0.94093,                 0.9348,                 0.8951,                0.93109,                0.80342,                0.56027,                0.31706,                 0.9074,               0.000251,               0.000251,               0.000251
                    108,                 0.5409,                  0.366,                0.95183,                0.93596,                0.89603,                 0.9312,                0.80682,                0.55062,                0.31581,                0.90508,              0.0002345,              0.0002345,              0.0002345
                    109,                0.52061,                0.35924,                0.93506,                0.94365,                0.88976,                0.93362,                0.80738,                0.54697,                0.31266,                0.90812,               0.000218,               0.000218,               0.000218
                    110,                0.42726,                0.25402,                0.83808,                0.94303,                0.88283,                0.93266,                0.80941,                0.54298,                0.31563,                0.90869,              0.0002015,              0.0002015,              0.0002015
                    111,                0.41534,                0.24776,                0.83736,                0.94454,                0.88828,                0.93253,                0.80687,                0.55488,                0.31436,                0.90925,               0.000185,               0.000185,               0.000185
                    112,                0.40517,                0.24018,                0.83319,                0.94478,                0.88283,                0.93119,                0.80764,                 0.5512,                0.31319,                0.90984,              0.0001685,              0.0001685,              0.0001685
                    113,                0.40538,                0.23932,                0.83108,                0.93629,                0.90097,                0.93337,                0.80723,                0.54832,                0.31163,                0.90797,               0.000152,               0.000152,               0.000152
                    114,                0.39882,                0.23598,                0.82875,                0.94897,                0.88669,                0.93262,                0.80892,                0.54362,                0.30866,                0.91021,              0.0001355,              0.0001355,              0.0001355
                    115,                0.39108,                0.23219,                0.82445,                0.94475,                0.88556,                0.92924,                0.80824,                0.54945,                0.30912,                0.90976,               0.000119,               0.000119,               0.000119
                    116,                0.38791,                0.23156,                0.82392,                0.94489,                0.88762,                0.93201,                0.80945,                0.55047,                0.30758,                0.90759,              0.0001025,              0.0001025,              0.0001025
                    117,                 0.3925,                0.23217,                0.82409,                0.94601,                0.88328,                0.93099,                0.80786,                0.54685,                0.30923,                0.90655,                8.6e-05,                8.6e-05,                8.6e-05
                    118,                0.38474,                 0.2285,                0.81954,                0.94305,                0.88692,                0.93229,                0.80838,                0.54401,                0.30912,                 0.9054,               6.95e-05,               6.95e-05,               6.95e-05
                    119,                0.37807,                0.22479,                 0.8226,                0.93647,                0.88363,                0.93072,                0.80872,                0.54607,                0.30677,                0.90949,                5.3e-05,                5.3e-05,                5.3e-05
