                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.66122,                0.46174,                0.96451,                0.94356,                0.86512,                0.92633,                0.78012,                0.61727,                 0.3983,                0.90057,              0.0008945,              0.0008945,              0.0008945
                     69,                0.66264,                0.47036,                0.96563,                0.93828,                0.88283,                0.92273,                0.77005,                0.62633,                0.38971,                0.91618,               0.000878,               0.000878,               0.000878
                     70,                0.64623,                0.46245,                0.95767,                0.94163,                 0.8842,                 0.9265,                0.78453,                0.60414,                0.38499,                0.89465,              0.0008615,              0.0008615,              0.0008615
                     71,                0.65174,                0.44381,                0.96534,                0.94168,                0.87996,                0.92956,                0.78976,                0.59798,                0.38956,                0.89402,               0.000845,               0.000845,               0.000845
                     72,                 0.6221,                0.43015,                0.94628,                0.93812,                0.88011,                0.92954,                0.78996,                0.60478,                0.38188,                0.89859,              0.0008285,              0.0008285,              0.0008285
                     73,                0.62923,                0.44297,                0.94559,                0.94679,                0.87269,                0.92895,                0.79081,                0.59675,                0.38058,                0.89611,               0.000812,               0.000812,               0.000812
                     74,                0.63168,                0.43482,                 0.9482,                0.91827,                0.88778,                0.92623,                0.78066,                0.62114,                0.39951,                0.90361,              0.0007955,              0.0007955,              0.0007955
                     75,                0.63073,                0.43105,                 0.9455,                 0.9287,                0.88726,                0.92335,                0.78135,                0.61848,                0.38681,                0.90347,               0.000779,               0.000779,               0.000779
                     76,                0.63697,                0.44742,                0.94942,                 0.9497,                0.87459,                0.92808,                0.78612,                0.60981,                0.37688,                0.90279,              0.0007625,              0.0007625,              0.0007625
                     77,                0.64441,                0.44995,                0.95564,                0.92074,                0.89101,                0.92704,                0.78858,                 0.6064,                0.39073,                0.88918,               0.000746,               0.000746,               0.000746
                     78,                0.62957,                0.43847,                0.94902,                0.94704,                0.87711,                0.92982,                0.79702,                0.59887,                0.36513,                0.88584,              0.0007295,              0.0007295,              0.0007295
                     79,                0.61488,                0.41784,                0.93969,                0.92594,                0.88692,                0.93147,                0.79894,                0.59246,                0.36646,                0.88534,               0.000713,               0.000713,               0.000713
                     80,                 0.6145,                0.42899,                0.93677,                0.95291,                0.87738,                0.93119,                0.79452,                0.60078,                0.36756,                0.89361,              0.0006965,              0.0006965,              0.0006965
                     81,                0.61402,                 0.4252,                0.94558,                0.93978,                0.88556,                0.93271,                0.79029,                0.59553,                0.36743,                0.89634,                0.00068,                0.00068,                0.00068
                     82,                0.61499,                 0.4405,                0.94912,                  0.934,                0.88686,                0.93077,                0.79096,                0.61291,                 0.3678,                0.89338,              0.0006635,              0.0006635,              0.0006635
                     83,                0.61795,                 0.4271,                 0.9472,                 0.9289,                0.88997,                  0.932,                0.79428,                0.59732,                0.36051,                0.89994,               0.000647,               0.000647,               0.000647
                     84,                0.62241,                0.42779,                0.94388,                0.93918,                0.88011,                0.92873,                0.77845,                0.62221,                0.37256,                0.90425,              0.0006305,              0.0006305,              0.0006305
                     85,                0.61143,                0.41929,                 0.9429,                0.92958,                0.89646,                0.93266,                0.79358,                0.61279,                0.37001,                0.89743,               0.000614,               0.000614,               0.000614
                     86,                0.60012,                0.41606,                0.93321,                0.92396,                0.88965,                0.93279,                0.79893,                0.59298,                0.36664,                0.89049,              0.0005975,              0.0005975,              0.0005975
